fullname,companyname,email,mobile,status,interview,hrcount,dept,transport,extra_comments,internship,dtoc
Atharya,Mantech,Atharya2gmail.com,8584858486,Called/Accepted,Online,1,CIVIL ,College Cab,,TRUE,
Gopal,Sheets wey,Gopal@gmail.com,8785848587,Blacklisted Contact,------,1,,------,,FALSE,
Krish,Getpath,Krish@gmail.com,24785252,Called/Accepted,Online,0,,------,,TRUE,
Vasthav,VVV,Vasthav@gmail.com,12152523,Wrong Number,Offline,2,,Own Transport,,FALSE,
Menaka,Drill down,Menaka@gmail.com,6568656965,Called/Not Reachable,Offline,1,BIO CHE CIVIL ,College Cab,,FALSE,
Samuel,Kqutech,Samuel@gmail.com,9898959596,Wrong Number,Undecided,2,CHE CIVIL ECE CSE ,College Cab,,FALSE,
Birbal,IYC Tech,Birbal@gmail.com,25242526,Called/Postponed,Online,1,CHE CIVIL CSE ,College Cab,,TRUE,
Manya,Jonya Solutions,Manya@gmail.com,24252423,-------,------,0,,------,,FALSE,
Sheethal,Aachi,Sheethal@gmail.com,98959895,Called/Postponed,Undecided,0,CIVIL EEE ECE CSE ,Own Transport,,TRUE,
Vickyal,Gyan tech,Vickyal@gmail.com,25242523,-------,------,1,,------,,TRUE,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
