fullname,companyname,email,mobile,status,interview,hrcount,dept,transport,extra_comments,internship,dtoc,address,branch
Sam,Faso,,6564626167,Called/Accepted,Online,1,CIVIL ,College Cab,,TRUE,,3/104 anna nagar,Circuit
Kriti,Sheets wey,,7573767879,Blacklisted Contact,------,1,,------,,FALSE,,tnagar,------
Deepika,Cialo,,8581848283,Called/Accepted,Online,0,,------,,TRUE,,chennai,Non-Circuit
Rahul,Sem conductor,,9485762519,Wrong Number,Offline,2,,Own Transport,,FALSE,,,------
Vikranth,Kqutech,,65857595,Called/Not Reachable,Offline,1,BIO CHE CIVIL ,College Cab,,FALSE,,,Non-Circuit
Vasudev,Piazanca,,8584123256,Called/Accepted,Online,1,CIVIL ,College Cab,,TRUE,,3/104 anna nagar,Circuit
Aparna,Airtel,,9695919497,Blacklisted Contact,------,1,,------,,FALSE,,tnagar,------
Susheel,Kqutech,,6564759584,Called/Accepted,Online,0,,------,,TRUE,,chennai,Non-Circuit
Johnson,Vodo Technologies,,6265686761,Wrong Number,Offline,2,,Own Transport,,FALSE,,,------
Subhin,Delux creations,,6969696969,Called/Not Reachable,Offline,1,BIO CHE CIVIL ,College Cab,,FALSE,,,Non-Circuit
,,,,,,,,,,,,,
