fullname,companyname,email,mobile,status,interview,hrcount,dept,transport,extra_comments,internship,dtoc
Atharya,Mantech,Atharya2gmail.com,9695989492,Called/Accepted,Online,1,CIVIL ,College Cab,,TRUE,
Gopal,Sheets wey,Gopal@gmail.com,7573767879,Blacklisted Contact,------,1,,------,,FALSE,
Krish,Getpath,Krish@gmail.com,25986875,Called/Accepted,Online,0,,------,,TRUE,
Vasthav,VVV,Vasthav@gmail.com,35454785,Wrong Number,Offline,2,,Own Transport,,FALSE,
Menaka,Drill down,Menaka@gmail.com,95753545,Called/Not Reachable,Offline,1,BIO CHE CIVIL ,College Cab,,FALSE,
Samuel,Kqutech,Samuel@gmail.com,65857595,Wrong Number,Undecided,2,CHE CIVIL ECE CSE ,College Cab,,FALSE,
Birbal,IYC Tech,Birbal@gmail.com,8545356595,Called/Postponed,Online,1,CHE CIVIL CSE ,College Cab,,TRUE,
Manya,Jonya Solutions,Manya@gmail.com,5754488565,-------,------,0,,------,,FALSE,
Sheethal,Aachi,Sheethal@gmail.com,25958545,Called/Postponed,Undecided,0,CIVIL EEE ECE CSE ,Own Transport,,TRUE,
Vickyal,Gyan tech,Vickyal@gmail.com,85754535,-------,------,1,,------,,TRUE,
Sreemariyama,george,Sreemariyama@gmail.com,65952515,Called/Postponed,Undecided,2,CIVIL EEE ECE CSE ,Own Transport,,TRUE,
