fullname,companyname,email,mobile,status,interview,hrcount,dept,transport,extra_comments,internship,dtoc,address,branch
Atharya,Mantech,,6564487858,Called/Accepted,Online,1,CIVIL ,College Cab,,TRUE,,3/104 anna nagar,Circuit
Gopal,Sheets wey,,6985477856,Blacklisted Contact,------,1,,------,,FALSE,,tnagar,------
Krish,Getpath,,8754857489,Called/Accepted,Online,0,,------,,TRUE,,chennai,Non-Circuit
Vasthav,VVV,,8584865957,Wrong Number,Offline,2,,Own Transport,,FALSE,,,------
Menaka,Drill down,,7875797674,Called/Not Reachable,Offline,1,BIO CHE CIVIL ,College Cab,,FALSE,,,Non-Circuit
Samuel,Kqutech,,6564759584,Wrong Number,Undecided,2,CHE CIVIL ECE CSE ,College Cab,,FALSE,,,
Birbal,IYC Tech,,6578956848,Called/Postponed,Online,1,CHE CIVIL CSE ,College Cab,,TRUE,,,
Manya,Jonya Solutions,,8584789658,Called/Accepted,------,0,,------,,FALSE,,,
Sheethal,Aachi,,9575894567,Called/Postponed,Undecided,0,CIVIL EEE ECE CSE ,Own Transport,,TRUE,,,
Vickyal,Gyan tech,,9578845685,Called/Accepted,------,1,,------,,TRUE,,,
Sreemariyama,george,,9575846857,Called/Postponed,Undecided,2,CIVIL EEE ECE CSE ,Own Transport,,TRUE,,,
